,competitionIdx,L1,L2,Attendance,Weather,PitchCondition,GoalsHalf1,GoalsHalf2,sum_goals,half_1_percent,half_2_percent,Unnamed: 11,Unnamed: 12,l1_new,uniformly_spaced_point,quantiles,l2_new
79316,1352,0.562286699,1.622459439,without fans,good,Excellent,0,2,2,0.0,100.0,,,2.336660256,0.9357392290000001,1.519957959,1.904422417
79317,1352,1.2301403690000001,1.002290926,without fans,good,good,2,4,6,33.33333333,66.66666667,,,2.336675025,0.9357510259999999,1.52005184,1.904534135
79318,1352,1.311793746,0.794272885,without fans,good,good,2,1,3,66.66666667,33.33333333,,,2.336704846,0.9357628240000001,1.520145735,1.904595008
79320,1352,1.086655137,0.9720524770000001,without fans,windy,not defined,3,1,4,75.0,25.0,,,2.336961175,0.935786419,1.520333564,1.904837181
79321,1352,0.972932076,1.161676197,without fans,good,good,0,2,2,0.0,100.0,,,2.3370528040000003,0.9357982159999999,1.520427499,1.905081561
79322,1352,0.796410508,1.255061823,without fans,Cold,Excellent,0,1,1,0.0,100.0,,,2.337080872,0.9358100140000001,1.520521447,1.905221782
79323,1352,0.836194275,1.328055965,without fans,good,good,1,3,4,25.0,75.0,,,2.337442176,0.935821811,1.5206154090000001,1.905317586
79324,1352,1.004816597,0.776298588,without fans,Sun,good,1,0,1,100.0,0.0,,,2.337479974,0.935833609,1.520709384,1.905337342
79326,1352,1.423756657,0.815166515,without fans,Cold,good,1,2,3,33.33333333,66.66666667,,,2.337606129,0.935857204,1.520897374,1.9054832780000002
79328,1352,1.0132746609999999,1.129610345,without fans,windy,good,0,3,3,0.0,100.0,,,2.337775604,0.935880798,1.521085419,1.905757259
79329,1352,0.9584105279999999,1.124722726,without fans,good,good,0,2,2,0.0,100.0,,,2.337862224,0.935892596,1.521179461,1.9057762109999998
79330,1352,1.233605074,0.94488679,without fans,good,good,0,1,1,0.0,100.0,,,2.3378876319999997,0.935904393,1.5212735169999998,1.905818344
79331,1352,0.80328061,1.527371339,without fans,good,good,1,3,4,25.0,75.0,,,2.338041201,0.9359161909999999,1.521367586,1.9058749369999999
79332,1352,1.870998266,0.5157011570000001,without fans,good,good,1,2,3,33.33333333,66.66666667,,,2.338075674,0.935927988,1.521461669,1.905936076
79333,1352,0.9221121720000001,1.028158757,without fans,good,good,2,1,3,66.66666667,33.33333333,,,2.338102302,0.9359397859999999,1.521555765,1.905980192
79334,1352,0.967392122,1.041240305,without fans,Hot,good,0,2,2,0.0,100.0,,,2.338106475,0.9359515829999999,1.521649875,1.9059912769999998
79336,1352,0.655712184,1.432886644,without fans,windy,Excellent,1,0,1,100.0,0.0,,,2.3382481580000003,0.935975178,1.521838134,1.906255083
79337,1352,0.876482833,1.140181658,without fans,good,good,1,1,2,50.0,50.0,,,2.338256968,0.9359869759999999,1.521932284,1.906265719
79338,1352,1.080197101,1.28147582,without fans,good,Excellent,0,1,1,0.0,100.0,,,2.33827297,0.935998773,1.522026448,1.9064200480000002
79339,1352,1.244743647,1.06756005,without fans,good,good,1,2,3,33.33333333,66.66666667,,,2.3382957419999997,0.936010571,1.522120625,1.9064209619999999
79340,1352,0.996177309,1.7396115719999998,without fans,windy,Excellent,4,0,4,100.0,0.0,,,2.338313972,0.9360223679999999,1.522214816,1.9064518169999998
79342,1352,1.024756795,1.088060118,without fans,Mild,Regular,0,1,1,0.0,100.0,,,2.338396256,0.936045963,1.5224032369999998,1.90667164
79343,1352,0.860245612,1.040249763,without fans,good,Regular,0,1,1,0.0,100.0,,,2.3384614669999997,0.93605776,1.522497468,1.906707405
79344,1352,0.876659485,0.810984721,without fans,Sun,good,2,4,6,33.33333333,66.66666667,,,2.338492935,0.936069558,1.5225917130000002,1.906748084
79345,1352,1.350147451,0.6972523909999999,without fans,Mild,Regular,3,1,4,75.0,25.0,,,2.338616727,0.936081355,1.522685971,1.906930407
79346,1352,2.340661495,0.45759521299999995,without fans,Hot,Excellent,2,1,3,66.66666667,33.33333333,,,2.338828496,0.936093153,1.5227802430000001,1.907041252
79347,1352,1.457336779,0.85635613,without fans,good,good,1,2,3,33.33333333,66.66666667,,,2.3388436830000003,0.93610495,1.5228745280000002,1.907107638
79348,1352,1.1230938,1.1230449279999999,without fans,Cold,Excellent,1,0,1,100.0,0.0,,,2.33885227,0.936116748,1.522968827,1.907163461
79349,1352,2.3827859630000003,0.656171834,without fans,good,good,1,2,3,33.33333333,66.66666667,,,2.338895848,0.936128545,1.523063139,1.9072146580000002
79350,1352,0.963142257,1.131558888,without fans,good,good,3,5,8,37.5,62.5,,,2.339048652,0.9361403429999999,1.523157465,1.907266875
79351,1352,1.131709215,1.056953695,without fans,good,good,2,3,5,40.0,60.0,,,2.3391315280000002,0.93615214,1.523251804,1.9073573419999998
79352,1352,2.51623556,0.438426637,without fans,good,good,4,1,5,80.0,20.0,,,2.339518272,0.936163938,1.523346157,1.9073627119999998
79353,1352,0.9030294320000001,1.450351669,without fans,good,good,2,0,2,100.0,0.0,,,2.339540592,0.936175735,1.523440524,1.907387028
79354,1352,1.038888512,0.715475215,without fans,windy,Excellent,1,1,2,50.0,50.0,,,2.339699907,0.936187532,1.5235349040000001,1.9073954380000002
79355,1352,1.195018005,0.7287134759999999,without fans,Mild,Regular,1,0,1,100.0,0.0,,,2.339745615,0.93619933,1.5236292980000001,1.90744774
79357,1352,0.966033995,0.7964376209999999,without fans,good,good,1,3,4,25.0,75.0,,,2.339891473,0.936222925,1.5238181259999999,1.9075113190000001
79358,1352,1.008122519,0.934748028,without fans,Sun,good,3,2,5,60.0,40.0,,,2.3398929980000003,0.936234722,1.52391256,1.9075164119999999
79359,1352,0.8216769009999999,0.9394911490000001,without fans,good,good,2,2,4,50.0,50.0,,,2.340092282,0.93624652,1.524007008,1.907534202
79360,1352,0.5382784110000001,1.9133112140000001,without fans,good,good,3,3,6,50.0,50.0,,,2.340092634,0.9362583170000001,1.52410147,1.9075429730000002
79361,1352,1.602387389,0.927931855,without fans,good,Excellent,3,0,3,100.0,0.0,,,2.340112909,0.936270115,1.524195945,1.907565353
79362,1352,1.141241416,1.021361521,without fans,windy,Excellent,0,1,1,0.0,100.0,,,2.340191153,0.936281912,1.524290434,1.90758045
79363,1352,1.8592395259999999,0.609941387,without fans,good,good,1,0,1,100.0,0.0,,,2.340233203,0.93629371,1.524384936,1.9076138580000002
79364,1352,1.7163581159999999,0.656955699,without fans,good,Excellent,1,3,4,25.0,75.0,,,2.340290025,0.936305507,1.5244794519999998,1.907780654
79365,1352,0.759019057,1.452072645,without fans,good,good,1,0,1,100.0,0.0,,,2.340385945,0.936317305,1.524573982,1.90778367
79366,1352,1.046947193,0.996412469,without fans,good,good,0,1,1,0.0,100.0,,,2.340398326,0.9363291020000001,1.524668525,1.90788612
79368,1352,0.954339646,1.04647183,without fans,good,Arthificial turf,0,3,3,0.0,100.0,,,2.340526212,0.936352697,1.5248576530000002,1.9080000000000001
79370,1352,0.7900775959999999,1.696999425,without fans,good,good,1,4,5,20.0,80.0,,,2.340661495,0.936376292,1.525046835,1.908047841
79372,1352,1.876350919,0.6415032279999999,without fans,good,Excellent,1,1,2,50.0,50.0,,,2.340867678,0.936399887,1.5252360719999998,1.9080971009999999
79373,1352,1.16161286,0.87692748,without fans,good,Excellent,0,2,2,0.0,100.0,,,2.341043464,0.9364116840000001,1.52533071,1.9081221430000002
79374,1352,0.77815262,1.418022026,without fans,good,good,0,1,1,0.0,100.0,,,2.341288048,0.936423482,1.525425363,1.9082965930000002
79375,1352,0.682593325,1.446846241,without fans,good,Excellent,0,1,1,0.0,100.0,,,2.341296986,0.936435279,1.5255200290000002,1.908300299
79376,1352,0.636133309,1.388187065,without fans,good,Excellent,2,0,2,100.0,0.0,,,2.3413443590000003,0.9364470770000001,1.525614709,1.9083730980000002
79377,1352,0.56329763,1.418989744,without fans,good,good,4,0,4,100.0,0.0,,,2.3413832080000003,0.936458874,1.525709402,1.9084180259999999
79378,1352,1.165033818,0.958325713,without fans,good,good,1,0,1,100.0,0.0,,,2.341437841,0.936470672,1.525804109,1.908423931
79379,1352,2.153767713,0.348563521,without fans,rainy,good,3,2,5,60.0,40.0,,,2.341575749,0.9364824690000001,1.52589883,1.9085646490000001
79380,1352,1.081538197,1.168832616,without fans,good,Excellent,2,3,5,40.0,60.0,,,2.341620061,0.936494266,1.525993565,1.908612605
79381,1352,1.309436539,0.863627774,without fans,good,Excellent,1,2,3,33.33333333,66.66666667,,,2.342007777,0.936506064,1.526088313,1.908683334
79383,1352,0.569924875,1.357028224,without fans,good,good,0,1,1,0.0,100.0,,,2.342046315,0.9365296590000001,1.526277851,1.908709552
79384,1352,0.780049076,0.996185393,without fans,good,good,1,1,2,50.0,50.0,,,2.342100521,0.9365414559999999,1.52637264,1.9087991990000002
79385,1352,1.6626092959999998,0.66022369,without fans,Cold,Excellent,1,2,3,33.33333333,66.66666667,,,2.342345236,0.9365532540000001,1.526467443,1.908926
79386,1352,1.106313577,1.214773877,without fans,good,good,1,1,2,50.0,50.0,,,2.342443217,0.936565051,1.52656226,1.90922239
79387,1352,1.125202172,1.230901986,without fans,windy,Excellent,1,1,2,50.0,50.0,,,2.342643395,0.936576849,1.526657091,1.9095781530000002
79388,1352,1.061190101,1.172536432,without fans,Cold,Excellent,0,1,1,0.0,100.0,,,2.342644834,0.9365886459999999,1.526751935,1.909845571
79390,1352,1.217457815,0.64495268,without fans,good,Excellent,1,2,3,33.33333333,66.66666667,,,2.343110774,0.936612241,1.526941665,1.9099264580000002
79391,1352,1.4236372869999998,0.641884637,without fans,good,good,0,2,2,0.0,100.0,,,2.343168735,0.936624039,1.52703655,1.9099840609999998
79392,1352,0.6686310670000001,1.512212911,without fans,Hot,good,0,3,3,0.0,100.0,,,2.34328661,0.9366358359999999,1.527131449,1.9103014459999998
79393,1352,1.103591064,0.787284414,without fans,good,good,0,1,1,0.0,100.0,,,2.3433690719999998,0.936647633,1.527226362,1.9103611440000001
79394,1352,1.4758487,0.7215415340000001,without fans,windy,good,2,2,4,50.0,50.0,,,2.343442919,0.9366594309999999,1.527321289,1.910369112
79395,1352,0.98276613,1.121784086,without fans,Hot,good,2,2,4,50.0,50.0,,,2.343533186,0.936671228,1.52741623,1.9104204359999999
79396,1352,0.847802539,1.098728654,without fans,good,good,1,1,2,50.0,50.0,,,2.343737622,0.936683026,1.527511184,1.910482851
